onset	duration	trial_type	response	response_time	stim_id	stim_version	stim_events	stim_slides	trial_id	run_id	stim_redcross	subsequent_response_type
2.0879	n/a	n/a	n/a	n/a	80100	8	1	0	211	3	n/a	n/a
6.0842	3.5	genericItem	n/a	n/a	10101	1	1	1	212	3	n/a	n/a
10.0632	3.5	genericItem	n/a	n/a	10102	1	1	2	213	3	n/a	n/a
14.0855	3.5	genericItem	n/a	n/a	10103	1	1	3	214	3	n/a	n/a
18.082	3.5	controlItem	n/a	n/a	10104	1	1	4	215	3	n/a	controlFoil1
22.0676	3.5	genericItem	n/a	n/a	10105	1	1	5	216	3	1	n/a
26.0524	3.5	genericItem	n/a	n/a	10106	1	1	6	217	3	n/a	n/a
30.0801	3.5	controlItem	n/a	n/a	10107	1	1	7	218	3	n/a	controlTrue
34.0573	3.5	genericItem	n/a	n/a	10108	1	1	8	219	3	n/a	n/a
38.0625	3.5	genericItem	n/a	n/a	10109	1	1	9	220	3	n/a	n/a
42.0518	3.5	criticalItem	n/a	n/a	20110	2	1	10	221	3	n/a	criticalTrue
46.067	3.5	genericItem	n/a	n/a	10111	1	1	11	222	3	n/a	n/a
50.0775	3.5	criticalItem	n/a	n/a	20112	2	1	12	223	3	n/a	criticalTrue
54.0594	3.5	genericItem	n/a	n/a	10113	1	1	13	224	3	n/a	n/a
58.0623	3.5	criticalItem	n/a	n/a	20114	2	1	14	225	3	n/a	criticalTrue
62.067	3.5	genericItem	n/a	n/a	10115	1	1	15	226	3	n/a	n/a
66.0966	3.5	controlItem	n/a	n/a	10116	1	1	16	227	3	n/a	controlTrue
70.1092	3.5	criticalItem	n/a	n/a	20117	2	1	17	228	3	n/a	criticalTrue
74.0767	3.5	controlItem	n/a	n/a	10118	1	1	18	229	3	n/a	controlFoil1
78.0465	3.5	criticalItem	n/a	n/a	20119	2	1	19	230	3	n/a	criticalTrue
82.0575	3.5	genericItem	n/a	n/a	10120	1	1	20	231	3	n/a	n/a
86.0617	3.5	controlItem	n/a	n/a	10121	1	1	21	232	3	n/a	controlFoil1
90.0836	3.5	criticalItem	n/a	n/a	20122	2	1	22	233	3	n/a	criticalTrue
94.1201	3.5	controlItem	n/a	n/a	10123	1	1	23	234	3	n/a	controlTrue
98.0839	3.5	controlItem	n/a	n/a	10124	1	1	24	235	3	n/a	controlFoil1
102.083	3.5	controlItem	n/a	n/a	10125	1	1	25	236	3	n/a	controlTrue
106.05	3.5	criticalItem	n/a	n/a	20126	2	1	26	237	3	n/a	criticalTrue
110.085	3.5	genericItem	n/a	n/a	10127	1	1	27	238	3	n/a	n/a
114.11	3.5	criticalItem	n/a	n/a	20128	2	1	28	239	3	n/a	criticalTrue
118.097	3.5	genericItem	n/a	n/a	10129	1	1	29	240	3	n/a	n/a
122.082	3.5	genericItem	n/a	n/a	10130	1	1	30	241	3	n/a	n/a
126.082	3.5	criticalItem	n/a	n/a	20131	2	1	31	242	3	n/a	n/a
130.065	3.5	controlItem	n/a	n/a	10132	1	1	32	243	3	n/a	controlTrue
134.06	3.5	genericItem	n/a	n/a	10133	1	1	33	244	3	n/a	n/a
138.096	3.5	genericItem	n/a	n/a	10134	1	1	34	245	3	n/a	n/a
142.071	3.5	genericItem	1	0.762	10135	1	1	35	246	3	1	n/a
146.084	3.5	criticalItem	n/a	n/a	20136	2	1	36	247	3	n/a	criticalFalse
150.084	3.5	genericItem	n/a	n/a	10137	1	1	37	248	3	n/a	n/a
154.059	3.5	genericItem	1	0.692	10138	1	1	38	249	3	1	n/a
158.059	3.5	genericItem	n/a	n/a	10139	1	1	39	250	3	n/a	n/a
162.086	3.5	controlItem	n/a	n/a	10140	1	1	40	251	3	n/a	controlFoil1
166.056	3.5	criticalItem	n/a	n/a	20141	2	1	41	252	3	n/a	criticalFalse
170.075	3.5	genericItem	n/a	n/a	10142	1	1	42	253	3	n/a	n/a
174.107	3.5	genericItem	n/a	n/a	10143	1	1	43	254	3	n/a	n/a
178.065	3.5	genericItem	n/a	n/a	10144	1	1	44	255	3	n/a	n/a
182.079	3.5	genericItem	n/a	n/a	10145	1	1	45	256	3	n/a	n/a
186.081	3.5	controlItem	n/a	n/a	10146	1	1	46	257	3	n/a	controlTrue
190.06	3.5	genericItem	n/a	n/a	10147	1	1	47	258	3	n/a	n/a
194.073	3.5	genericItem	n/a	n/a	10148	1	1	48	259	3	n/a	n/a
198.05	3.5	controlItem	n/a	n/a	10149	1	1	49	260	3	n/a	controlFoil2
202.104	3.5	criticalItem	n/a	n/a	20150	2	1	50	261	3	n/a	criticalFalse
206.069	n/a	n/a	n/a	n/a	90100	9	1	0	262	3	n/a	n/a
210.079	n/a	n/a	n/a	n/a	80700	8	7	0	263	3	n/a	n/a
214.064	3.5	genericItem	n/a	n/a	10701	1	7	1	264	3	n/a	n/a
218.076	3.5	genericItem	n/a	n/a	10702	1	7	2	265	3	n/a	n/a
222.055	3.5	controlItem	n/a	n/a	10703	1	7	3	266	3	n/a	controlFoil2
226.06	3.5	criticalItem	n/a	n/a	10704	1	7	4	267	3	n/a	criticalTrue
230.039	3.5	controlItem	n/a	n/a	10705	1	7	5	268	3	n/a	controlTrue
234.077	3.5	genericItem	1	0.869	10706	1	7	6	269	3	1	n/a
238.058	3.5	controlItem	n/a	n/a	10707	1	7	7	270	3	n/a	controlFoil2
242.055	3.5	controlItem	n/a	n/a	10708	1	7	8	271	3	n/a	controlTrue
246.077	3.5	criticalItem	n/a	n/a	10709	1	7	9	272	3	n/a	criticalTrue
250.057	3.5	genericItem	n/a	n/a	10710	1	7	10	273	3	n/a	n/a
254.064	3.5	controlItem	n/a	n/a	10711	1	7	11	274	3	n/a	controlTrue
258.079	3.5	criticalItem	n/a	n/a	10712	1	7	12	275	3	n/a	criticalFalse
262.06	3.5	genericItem	n/a	n/a	10713	1	7	13	276	3	n/a	n/a
266.056	3.5	controlItem	n/a	n/a	10714	1	7	14	277	3	n/a	controlFoil2
270.089	3.5	genericItem	n/a	n/a	10715	1	7	15	278	3	n/a	n/a
274.065	3.5	genericItem	n/a	n/a	10716	1	7	16	279	3	n/a	n/a
278.058	3.5	genericItem	n/a	n/a	10717	1	7	17	280	3	n/a	n/a
282.079	3.5	controlItem	n/a	n/a	10718	1	7	18	281	3	n/a	controlTrue
286.05	3.5	criticalItem	n/a	n/a	10719	1	7	19	282	3	n/a	criticalTrue
290.066	3.5	controlItem	n/a	n/a	10720	1	7	20	283	3	n/a	controlFoil1
294.043	3.5	criticalItem	n/a	n/a	10721	1	7	21	284	3	n/a	criticalFoil
298.065	3.5	genericItem	n/a	n/a	10722	1	7	22	285	3	n/a	n/a
302.058	3.5	genericItem	n/a	n/a	10723	1	7	23	286	3	n/a	n/a
306.079	3.5	genericItem	1	0.772	10724	1	7	24	287	3	1	n/a
310.058	3.5	genericItem	n/a	n/a	10725	1	7	25	288	3	n/a	n/a
314.028	3.5	criticalItem	n/a	n/a	10726	1	7	26	289	3	n/a	criticalFalse
318.029	3.5	genericItem	n/a	n/a	10727	1	7	27	290	3	n/a	n/a
322.06	3.5	controlItem	n/a	n/a	10728	1	7	28	291	3	n/a	controlFoil2
326.077	3.5	criticalItem	n/a	n/a	10729	1	7	29	292	3	n/a	criticalFalse
330.081	3.5	genericItem	n/a	n/a	10730	1	7	30	293	3	n/a	n/a
334.027	3.5	genericItem	n/a	n/a	10731	1	7	31	294	3	n/a	n/a
338.062	3.5	genericItem	n/a	n/a	10732	1	7	32	295	3	n/a	n/a
342.043	3.5	genericItem	n/a	n/a	10733	1	7	33	296	3	n/a	n/a
